customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
80,Eric Ferguson,brittanycarpenter@example.org,Palestinian Territory,2024-09-25,Standard,603.30
81,Gail Bradshaw,bryananthony@example.org,Yemen,2024-10-26,Standard,712.35
82,Marilyn Wang,bmontgomery@example.com,Tuvalu,2024-09-30,Basic,218.49
83,Tyler Webb,eevans@example.net,Bahamas,2022-05-27,Standard,384.06
84,John Peterson,larryhiggins@example.net,Tokelau,2023-05-04,Premium,185.66
85,Philip Robertson,floressteven@example.com,Korea,2022-11-07,Standard,643.09
86,Dylan Cruz,kwright@example.com,Vietnam,2024-07-02,Standard,656.98
87,Phillip Jimenez,tjimenez@example.com,Angola,2022-01-23,Standard,365.67
88,Jim Allen,brandon47@example.net,Turkmenistan,2025-10-29,Basic,274.37
89,Donna Smith,jordannicole@example.net,Haiti,2025-06-07,Standard,277.79
90,James Hudson,michaelroberts@example.com,Madagascar,2023-11-12,Standard,544.32
91,Samantha Hanson,andersoncolin@example.com,South Africa,2026-07-19,Standard,194.91
92,Holly Thomas,cporter@example.org,Burundi,2025-03-07,Standard,290.42
93,Kelly Hernandez,markaustin@example.org,India,2026-07-26,Basic,267.84
94,Elizabeth Rogers,terickson@example.com,Suriname,2021-09-11,Basic,321.51
95,Brian Butler,laura09@example.com,Estonia,2026-06-13,Standard,264.20
96,Paula Lane,silvageorge@example.net,Saint Helena,2024-09-17,Basic,171.41
97,Brittany Becker,armstrongjackie@example.org,Andorra,2023-10-26,Basic,111.93
98,Jason Harris,vsalas@example.net,Bahamas,2025-02-21,Basic,104.77
99,Kristina Bolton,ufox@example.org,Kuwait,2026-03-05,Basic,49.69
100,Hector Ingram,chelsea33@example.com,Moldova,2023-02-08,Basic,379.47
101,Vickie Wise,hannahburns@example.com,Guernsey,2024-06-01,Standard,613.44
102,Mikayla Roberts,zhuang@example.com,Zimbabwe,2025-06-24,Basic,64.90
103,Andrew Moses,reedscott@example.com,San Marino,2024-01-04,Basic,326.22
104,Joshua Fitzpatrick,derrick99@example.org,Ecuador,2021-11-12,Standard,168.95
105,Courtney Hall,gutierrezjennifer@example.org,Pitcairn Islands,2025-06-20,Standard,245.56
106,Joshua Hickman,edelgado@example.com,Pakistan,2022-08-11,Standard,360.61
107,Erica Brewer,pearsonjesse@example.net,Saint Kitts and Nevis,2025-11-12,Standard,378.12
108,Thomas Butler,sarahjohnson@example.com,Solomon Islands,2024-02-03,Standard,468.01
109,Tonya Howe,smithashley@example.org,Vanuatu,2026-07-12,Standard,698.36
110,William Daniels,ismall@example.net,Lao People's Democratic Republic,2022-12-23,Basic,190.59
111,Erin Simon,jennifer05@example.com,Montenegro,2024-12-26,Premium,1700.27
112,Levi Fowler,gwilcox@example.com,Benin,2023-08-14,Basic,332.43
113,William Woods,adamreyes@example.com,Sao Tome and Principe,2022-12-12,Standard,692.22
114,Kevin Berry,desiree30@example.net,British Indian Ocean Territory (Chagos Archipelago),2023-12-10,Premium,565.96
115,Michael Leblanc,hannah45@example.net,Cyprus,2022-09-16,Standard,187.28
116,Christian Adkins,robert87@example.net,Spain,2024-12-07,Standard,455.17
117,David Fischer,foxallison@example.com,Belarus,2026-03-14,Standard,511.55
118,Ronald Leach,ashleyhernandez@example.com,Timor-Leste,2024-03-19,Basic,159.37
119,Daniel Aguilar,nolansean@example.org,Korea,2022-04-10,Basic,78.14
120,Justin Hansen,jennifer64@example.org,Samoa,2022-09-14,Premium,524.65
121,Jeff Graves,michaelcesar@example.com,Antigua and Barbuda,2023-01-18,Basic,240.88
122,Chad May,ybrooks@example.com,Trinidad and Tobago,2026-03-14,Standard,224.20
123,Bobby Brandt,desireebailey@example.org,Mauritania,2023-07-31,Standard,387.57
124,William Davenport,goodsteven@example.net,Mayotte,2023-09-25,Standard,541.05
125,David Murray,joshuapineda@example.net,Serbia,2022-03-06,Standard,748.45
126,Jennifer Miranda,allencarlos@example.net,Antigua and Barbuda,2023-11-05,Standard,274.42
127,Shelby Sanchez,moralesjimmy@example.org,Saudi Arabia,2025-12-07,Basic,70.91
128,Jonathan Roberts,barbara53@example.com,Turkey,2022-04-30,Basic,302.85
129,Connie Turner,hawkinsbrittany@example.net,United States Minor Outlying Islands,2022-06-27,Standard,306.57
130,Kristi Williams,shelly68@example.com,Qatar,2023-09-11,Basic,227.60
131,James Webster,oallen@example.com,Togo,2025-02-24,Standard,140.90
132,Suzanne Hart,igrant@example.com,Ecuador,2022-11-20,Basic,202.88
133,Bob Cole,christopher30@example.com,Honduras,2024-12-24,Premium,245.38
134,Shelly Lopez,timothybooth@example.com,Gabon,2026-05-26,Basic,48.13
135,Timothy Hayden,burgesskaren@example.org,Qatar,2024-08-20,Standard,148.82
136,Thomas Arnold,oscar85@example.com,Eritrea,2023-05-31,Basic,374.77
137,Julie Lang,ugill@example.org,Heard Island and McDonald Islands,2023-03-06,Basic,225.76
138,Sean Figueroa,greensarah@example.net,Saint Helena,2023-09-13,Standard,298.42
139,Gary James,victorpena@example.net,Guadeloupe,2022-11-25,Standard,386.89
140,Tracy May,umurray@example.com,Chile,2022-04-24,Basic,266.71
141,Catherine Preston,warrenmary@example.org,Western Sahara,2025-09-14,Standard,518.68
142,Aaron Taylor,carloshernandez@example.org,Madagascar,2023-11-23,Standard,572.74
143,Mark Peck,bhopkins@example.org,Martinique,2024-05-15,Basic,201.85
144,Joseph Hill,andre62@example.org,Uruguay,2022-02-03,Standard,78.00
145,Corey Fox,joseph61@example.com,Iraq,2023-11-28,Standard,262.88
146,Michael Evans,valdezmichele@example.org,Bermuda,2023-08-22,Basic,326.56
147,John Walsh,christopherbruce@example.net,Slovenia,2023-04-09,Standard,614.66
148,Valerie Jacobson,hallrachel@example.net,Tuvalu,2024-06-12,Standard,321.91
149,Thomas Cohen,rachel90@example.org,Vanuatu,2025-11-12,Standard,151.92
150,Daniel Thomas,thickman@example.org,Mongolia,2022-10-25,Standard,405.40
151,Jasmine Mosley,patrick21@example.net,Samoa,2026-06-27,Basic,152.83
152,Jeffrey Roberson,cassie99@example.com,Singapore,2023-03-31,Standard,339.97
153,Rachel Hayes,michaelpugh@example.com,Colombia,2025-01-04,Premium,729.38
154,Angelica Montgomery,jennifermiller@example.org,Hong Kong,2025-03-04,Standard,191.46
155,Nancy Stewart,davissherry@example.com,Guyana,2025-06-02,Standard,615.41
156,Brandon Jordan,fgarcia@example.com,Micronesia,2022-01-29,Basic,252.46
157,Erika Cruz,robert18@example.org,Montserrat,2024-03-21,Standard,286.40
158,Caroline Adams,trevor12@example.com,Falkland Islands (Malvinas),2023-09-20,Standard,153.94
159,Mr. David Wright,mwheeler@example.com,Botswana,2022-04-16,Standard,170.42
160,James Skinner,vbrock@example.com,Grenada,2023-10-07,Standard,477.59
161,Marilyn Wheeler,malik37@example.com,Christmas Island,2026-06-09,Standard,360.55
162,Doris Neal,yfaulkner@example.org,Greece,2023-06-30,Standard,437.73
163,Jenna Wilson,brittanygardner@example.net,Seychelles,2024-05-13,Basic,375.05
164,Julia Erickson,ssalinas@example.org,Svalbard & Jan Mayen Islands,2025-11-07,Standard,187.63
165,Megan Taylor,john26@example.com,Barbados,2023-11-10,Standard,201.29
166,Lauren Ferguson,ystephens@example.com,Reunion,2026-02-03,Basic,262.99
167,Margaret Miller,dianekelly@example.net,New Zealand,2021-10-31,Basic,382.66
168,Miss Jennifer Goodwin,grodriguez@example.com,Cyprus,2024-03-02,Standard,206.71
169,Lauren Johnston,dbrooks@example.net,Namibia,2025-01-24,Standard,454.07
170,Zachary Webb,robert11@example.net,Cambodia,2023-05-10,Standard,351.17
171,Richard Boyd,thomas77@example.com,Bangladesh,2023-02-11,Standard,554.35
172,Ashley Sweeney,byrdfrank@example.net,Ecuador,2024-03-11,Standard,187.90
173,Erin Simmons,zhall@example.net,Colombia,2022-07-18,Standard,612.22
174,Jennifer Mclaughlin,shannonjordan@example.org,Romania,2022-09-08,Standard,97.07
175,Michael Flynn,lloydamanda@example.com,Greece,2022-08-07,Standard,269.85
176,Michael Burns,candice96@example.net,Brazil,2023-05-09,Basic,243.63
177,Lisa Cervantes,samantha91@example.net,Burkina Faso,2023-03-07,Basic,218.31
178,Bruce Brooks,williambarnes@example.org,Morocco,2023-07-14,Standard,461.58
179,Mark Steele,angelaburns@example.org,Colombia,2023-03-09,Standard,441.60
180,Anthony Howard,washingtonjames@example.com,Monaco,2024-02-21,Basic,235.14
181,Michael Perry PhD,kjackson@example.org,South Africa,2025-06-02,Basic,313.60
182,Donald Medina,kimberlycunningham@example.com,Mexico,2024-03-02,Standard,222.52
183,Debra Daniels,amber07@example.net,Cuba,2026-07-25,Standard,571.79
184,Ronald Potter,nancy07@example.com,Guernsey,2025-12-04,Standard,242.08
185,Sean Wilson,jasonrojas@example.net,Guernsey,2025-12-02,Basic,51.60
186,Jessica Jensen,lisatrujillo@example.net,Guernsey,2024-04-10,Standard,656.98
187,Caroline Werner,keith48@example.net,Suriname,2022-02-01,Premium,1537.83
188,Rachel Sellers,michelle22@example.org,Cameroon,2025-03-03,Premium,1453.73
189,Pam Lowe,othomas@example.com,Niue,2023-09-07,Standard,572.89
190,Mark Beard,powellkara@example.net,Vietnam,2025-12-31,Standard,656.21
191,John Perkins,simonstephen@example.net,Qatar,2023-05-28,Standard,364.01
192,Joseph Robinson,fsummers@example.com,Gibraltar,2025-10-03,Standard,604.77
193,Kenneth Knight,rkramer@example.org,Aruba,2022-02-09,Basic,329.96
194,Julia Martinez,scottsmith@example.com,Cook Islands,2026-08-05,Standard,434.29
195,Sonia Turner,clarence54@example.org,Holy See (Vatican City State),2024-12-08,Standard,188.65
196,Amber Garrett,rubendavis@example.org,Afghanistan,2022-09-05,Basic,145.35
197,Kevin Stone,ssmith@example.com,Svalbard & Jan Mayen Islands,2022-03-20,Standard,717.87
198,Melissa Woods,patrickcross@example.org,Bosnia and Herzegovina,2023-03-07,Standard,682.60
199,Breanna Ayala,darlenebyrd@example.org,Marshall Islands,2024-06-06,Basic,88.81
200,Carly Bell,courtneyhernandez@example.com,Nicaragua,2025-01-17,Basic,188.17
201,Angelica Garcia,lawrencepatrick@example.com,Germany,2025-07-27,Premium,611.78
202,Matthew Wright,kimberly04@example.org,Maldives,2024-08-24,Standard,548.46
203,James Lucas,troyrodriguez@example.com,Northern Mariana Islands,2024-08-01,Premium,405.33
204,Vanessa Hatfield,david96@example.com,Mayotte,2025-01-10,Standard,242.10
205,Tiffany Townsend,matthewsalexander@example.org,Armenia,2026-03-24,Basic,181.37
206,Jennifer Mitchell,zhenderson@example.org,Northern Mariana Islands,2024-04-18,Premium,1171.03
207,Diamond Collins,terrimoore@example.com,India,2024-07-18,Standard,328.24
208,Marie Day,holly30@example.org,Benin,2026-03-28,Premium,1426.49
209,Logan Brown,davidzimmerman@example.net,Algeria,2022-06-07,Basic,185.03
210,Kelly Logan,gary24@example.net,Turks and Caicos Islands,2022-03-15,Basic,290.09
211,Frances Patterson,bakertheresa@example.net,Belarus,2024-02-04,Basic,203.69
212,Amy Villarreal,michaelscott@example.org,Uganda,2024-06-25,Standard,467.82
213,Crystal Hicks,trevinoalexander@example.org,Latvia,2023-06-07,Basic,344.98
214,Cassidy Horne,tranrobin@example.net,Palau,2023-09-17,Premium,1706.14
215,Jason Cortez,margaret95@example.org,Macao,2024-12-24,Standard,545.67
216,Daniel Black,finleycasey@example.com,Tonga,2023-01-09,Basic,326.44
217,Erin Tran,woodkelly@example.com,Saint Vincent and the Grenadines,2024-09-22,Standard,728.49
218,Kevin Snyder,jessicapayne@example.org,Canada,2021-08-23,Basic,218.10
219,David Reed,tapiaaaron@example.net,Honduras,2025-11-10,Standard,266.43
220,Ashley Moreno,robertwoodward@example.org,Rwanda,2023-01-05,Standard,163.15
221,David Bruce,xhaynes@example.com,San Marino,2022-01-14,Basic,323.79
222,Casey Wilkins,vargasbryan@example.net,Bulgaria,2022-10-18,Basic,314.41
223,Ethan Owen,louis43@example.org,Western Sahara,2022-08-17,Premium,1161.23
224,Lauren Moore,shannonedwards@example.org,Mauritania,2023-05-28,Basic,45.86
225,Jodi Ford,davislindsey@example.com,Sweden,2025-02-19,Basic,96.87
226,Cindy Gates,christopherwright@example.com,Indonesia,2024-03-07,Standard,744.49
227,Debbie Ewing,cranemelissa@example.net,San Marino,2024-05-13,Standard,747.09
228,Brian Leon,smithmaria@example.org,Bulgaria,2022-08-08,Basic,357.57
229,Michael Pace,aguilarjonathan@example.org,Angola,2026-08-07,Standard,665.24
230,Matthew Lamb,steinmaria@example.com,British Virgin Islands,2021-10-29,Basic,73.60
231,Christopher Berry,ycrawford@example.net,Japan,2022-06-23,Standard,130.63
232,Cody Ramirez,austinharvey@example.org,Oman,2023-02-02,Standard,513.02
233,Juan Brown,patrick63@example.net,Turks and Caicos Islands,2025-08-07,Premium,1160.33
234,Zachary Stephens,mayokimberly@example.com,Lesotho,2024-05-02,Basic,311.88
235,Dr. Jonathan Price,anthonyharper@example.org,Ukraine,2025-09-01,Standard,136.56
236,Robert Ruiz,katie32@example.org,Egypt,2024-11-24,Premium,511.14
237,Robert Stark,gallagherstacie@example.net,Tanzania,2026-07-12,Premium,1110.05
238,Timothy Frey,gregorywatkins@example.net,Qatar,2023-05-29,Standard,375.42
239,Michele Bell,annalopez@example.com,Mauritius,2023-02-27,Premium,716.13
240,Brandon Hall II,nsmith@example.org,Sri Lanka,2022-04-07,Premium,1530.04
241,Tamara Richard,brian29@example.net,United States Virgin Islands,2022-04-27,Standard,397.45
242,Joseph Diaz,brookssheri@example.com,Namibia,2022-02-12,Standard,135.30
243,Chad Moore,fconner@example.net,Ghana,2022-06-26,Basic,77.15
244,Melissa Mcfarland,jeffrey92@example.com,Gambia,2025-04-14,Standard,277.00
245,Christopher Smith,xrosales@example.net,Antigua and Barbuda,2022-07-10,Standard,624.02
246,Robert Carr,zunigadonald@example.net,Belarus,2022-10-20,Basic,270.97
247,Mrs. Stacey Davis,sean43@example.org,Puerto Rico,2021-12-13,Standard,121.18
248,Brian Smith,akim@example.org,Turks and Caicos Islands,2023-09-07,Standard,486.97
249,Heather Bennett,kkramer@example.net,Senegal,2025-01-18,Standard,312.05
250,Benjamin Singleton,andrew41@example.org,Guam,2022-06-18,Standard,580.08
251,Nicholas Payne,morgantricia@example.com,Romania,2021-10-07,Basic,261.79
252,Carmen Preston,brianrivera@example.org,Ireland,2025-02-05,Standard,221.64
253,Monica Baker,kenneth10@example.com,Montserrat,2024-05-12,Basic,90.40
254,Anthony Smith Jr.,bgonzalez@example.org,Chile,2024-10-20,Premium,1324.76
255,Kara Wilson,qruiz@example.com,Bermuda,2024-10-27,Standard,364.84
256,Jacob James,seanbaker@example.com,Estonia,2022-09-29,Basic,129.20
257,Antonio Goodwin,millermaurice@example.net,Isle of Man,2026-06-20,Standard,242.51
258,Kristen Randall,rsheppard@example.com,Montserrat,2026-01-08,Standard,561.80
259,Blake Orr,shawrachel@example.net,Philippines,2026-07-12,Standard,710.36
260,Travis Cole,teresastokes@example.org,Armenia,2023-09-24,Premium,1509.14
261,Jessica Osborn DDS,luis11@example.com,Moldova,2023-08-07,Basic,113.96
262,Donald Ellis,buchanancindy@example.net,Slovenia,2023-09-17,Standard,202.34
263,Charles Matthews,buckleyanna@example.org,Solomon Islands,2023-01-16,Standard,511.16
264,Hailey Jenkins,kpena@example.net,Lebanon,2021-10-19,Basic,325.76
265,Charles Franklin,vwilliams@example.net,Dominica,2021-11-10,Standard,335.47
266,Derrick Watson,lisa44@example.com,Tajikistan,2024-01-27,Standard,505.71
267,Annette Melton,kevinmanning@example.com,Ethiopia,2025-04-04,Premium,1574.74
268,Ann Alexander,wfigueroa@example.net,Trinidad and Tobago,2023-06-26,Premium,743.73
269,Rick Jones,htaylor@example.net,Antarctica (the territory South of 60 deg S),2022-06-25,Standard,336.12
270,Christina Brown,bryantsamantha@example.net,Congo,2022-12-25,Basic,191.51
271,Kathy Reid,maldonadojohn@example.com,Nepal,2023-11-05,Standard,191.62
272,Karen Arnold,frank41@example.com,Antarctica (the territory South of 60 deg S),2023-07-19,Standard,741.47
273,Kenneth Hanna,deborahbyrd@example.com,Pakistan,2023-08-30,Premium,1100.10
274,Richard Saunders,wellsdavid@example.org,Netherlands Antilles,2025-08-14,Premium,514.80
275,Lee Hahn,rodney65@example.com,El Salvador,2022-09-14,Basic,381.52
276,Joseph Hanson,smithyvonne@example.com,Monaco,2024-11-06,Standard,268.38
277,Elizabeth Rodriguez,rogersjoshua@example.com,Tokelau,2022-12-30,Basic,316.16
278,Tiffany Curtis,edwardcannon@example.org,Sri Lanka,2025-11-25,Standard,346.54
279,Jennifer Flores,jenniferrios@example.com,Eritrea,2026-02-23,Standard,437.92
280,Norman Aguilar,matthewreeves@example.net,Martinique,2024-10-21,Standard,131.43
281,Todd Howard,megan82@example.com,Bhutan,2023-12-20,Premium,1625.46
282,Molly Hansen,staceylam@example.net,Benin,2022-09-22,Basic,95.94
283,Seth Fisher,nathan94@example.com,Thailand,2022-03-15,Standard,470.85
284,Mark Carpenter,kennedyjames@example.org,Trinidad and Tobago,2025-01-06,Basic,273.94
285,Jennifer Pitts,derrickgonzalez@example.com,Montenegro,2026-01-29,Standard,284.36
286,Mrs. Shannon White,freemancrystal@example.org,Germany,2024-10-14,Standard,718.56
287,Donald Juarez,barbaramoore@example.org,Bulgaria,2024-09-07,Standard,240.02
288,Jennifer Sanford,ismith@example.org,Saint Martin,2023-06-24,Basic,81.76
289,Frank Whitaker,andrewsmith@example.net,Egypt,2022-09-29,Standard,112.14
290,Emily Garcia,gary04@example.com,Korea,2025-04-02,Standard,519.19
291,Gail Barron,matthewvalenzuela@example.com,Sao Tome and Principe,2022-07-22,Standard,83.55
292,Tamara Powell,jeffreymercer@example.org,Saint Martin,2021-09-21,Premium,192.88
293,Barbara Dawson,brooksdanielle@example.net,Nigeria,2021-11-08,Standard,309.03
294,Mary Valdez MD,butleromar@example.net,El Salvador,2023-12-26,Standard,630.19
295,Michael Mccoy,robert18@example.com,Nigeria,2024-08-22,Standard,326.01
296,Ronald Garcia,campbellkristen@example.com,Congo,2024-08-28,Basic,354.45
297,Sandra Dudley,jade42@example.org,Mexico,2024-02-04,Basic,82.50
298,Timothy Rivera,smithchristopher@example.org,Syrian Arab Republic,2024-06-25,Basic,160.60
299,Travis Chan Jr.,conwaydawn@example.com,French Polynesia,2022-12-07,Standard,428.60
300,Robert Sawyer,michael56@example.net,Brazil,2022-02-01,Standard,733.16
301,Amber Christian,markkline@example.net,Ethiopia,2026-01-02,Standard,409.90
302,Robert White,dross@example.com,Syrian Arab Republic,2023-07-17,Standard,112.42
303,Rebecca Banks,,Western Sahara,2025-11-01,Basic,100.08
304,Thomas Webb,ywhite@example.com,New Zealand,2021-10-03,Standard,597.00
305,Sara Mcpherson,timothyfreeman@example.com,Kazakhstan,2021-11-03,Basic,282.68
306,Ernest Bush,tiffanysantiago@example.com,Maldives,2024-03-24,Premium,1341.73
307,Anna Stanley,timothyalvarado@example.net,Hungary,2022-05-10,Premium,1527.44
308,Stephanie Salazar,schneidereric@example.com,Timor-Leste,2024-02-03,Premium,247.42
309,Paul Flores,tara08@example.org,Mexico,2024-10-30,Standard,696.15
310,David Stevens,fmiller@example.com,Germany,2022-03-16,Standard,723.23
311,Matthew Garcia MD,petersenlatoya@example.net,Northern Mariana Islands,2023-02-19,Premium,1439.91
312,Christine Powers,michael03@example.com,Greenland,2024-05-31,Basic,276.05
313,Kara Sandoval,wwilson@example.net,Cyprus,2021-08-16,Standard,242.58
314,Mark Marsh,jacqueline02@example.com,Burundi,2025-09-21,Basic,155.18
315,Jennifer King,jacobconrad@example.com,Cuba,2023-11-25,Basic,245.75
316,Michelle Rodriguez,owilliams@example.net,Namibia,2022-03-25,Premium,1235.49
317,Judith Lawrence,tamarasmith@example.net,Australia,2024-05-18,Premium,526.52
318,Kevin Glass,heatherthompson@example.org,Bosnia and Herzegovina,2023-07-20,Standard,106.00
319,Sonya Gordon,mbarnes@example.net,Serbia,2022-11-08,Standard,666.97
320,Grant Phillips,devonmorrison@example.net,Malaysia,2023-02-09,Basic,318.47
321,Shannon Joseph,jamesweber@example.com,Poland,2023-05-04,Standard,133.31
322,Vicki Santos,williambenson@example.com,Russian Federation,2022-03-10,Standard,324.02
323,John Duncan,icraig@example.com,Turkey,2025-11-07,Standard,604.54
324,Kelly Johnson,brianbrown@example.com,Sao Tome and Principe,2025-07-17,Basic,127.33
325,Miss Brianna Brown,james80@example.com,Suriname,2023-11-16,Standard,731.00
326,Megan Hoffman,juliahoffman@example.org,Malawi,2025-07-14,Basic,319.32
327,Donna Beck,yhughes@example.net,Germany,2026-06-11,Basic,236.76
328,Patrick Harris,ogreer@example.net,Russian Federation,2024-11-07,Basic,94.20
329,Kimberly Morrison,kellythompson@example.net,Belarus,2022-07-19,Basic,48.61
330,Jose Bennett,qramirez@example.org,Central African Republic,2024-07-13,Standard,504.26
331,Gary Mckinney,billmcfarland@example.net,Austria,2025-06-25,Standard,81.48
332,Sarah Turner,charles58@example.org,Zimbabwe,2022-07-13,Standard,587.28
333,Jonathan Perry,odavis@example.org,Panama,2023-04-10,Standard,573.21
